Sr. No.,Mpp/Mcc Name,Milk Qty,Latitude,Longitude,Milk Dispatched Locations
159,Khapari,470.25806451612897,20.882973,78.753998,Mcc Buttibori
160,Gaimukh,147.53225806451613,20.879472,78.770236,Mcc Buttibori
161,Kelzar,491.6416129032258,20.848993,78.797527,Mcc Buttibori
162,Hamdapur,336.16645161290324,20.727001,78.823971,Mcc Buttibori
163,Parsoda,156.68225806451613,20.73649,78.3841146,Mcc Buttibori
164,Waigaon Bailmare,79.62,20.744927,78.866158,Mcc Buttibori
165,Nandpur Pardi,167.18774193548387,20.704392,78.873204,Mcc Buttibori
166,Bhosa,180.38193548387096,20.759637,78.87847,Mcc Buttibori
167,Umra,76.25516129032258,20.741328,78.887965,Mcc Buttibori
168,Marda,318.5477419354839,20.763936,78.9067578,Mcc Buttibori
169,Asola Sawangi,73.95064516129032,20.867328,78.911384,Mcc Buttibori
170,Walni,192.10193548387096,21.215253,78.522423,Mcc Dhanoli
171,Chandanpardi,305.6232258064516,21.163043,78.538933,Mcc Dhanoli
172,Chincholi,111.30225806451614,21.173356,78.550346,Mcc Dhanoli
173,Khursapur,117.16064516129032,21.164098,78.5732,Mcc Dhanoli
174,Junapani,156.80483870967743,21.153274,78.56668,Mcc Dhanoli
176,Jamgad,120.52483870967743,21.136454,78.580896,Mcc Dhanoli
177,Masod,129.95677419354837,21.077919,78.622967,Mcc Dhanoli
178,Chikhali Masod,134.84290322580645,21.109827,78.603023,Mcc Dhanoli
179,Nagazari,238.34193548387094,21.111307,78.636859,Mcc Dhanoli
180,Junewani,135.9741935483871,21.279248,78.52632,Mcc Dhanoli
181,Chaurepather,22.421935483870968,21.262247,78.487937,Mcc Dhanoli
182,Bhorgad,23.48967741935484,21.239211,78.477148,Mcc Dhanoli
183,Pandhardhankni,19.52516129032258,21.278879,78.45928,Mcc Dhanoli
184,Ghogra,75.10451612903225,21.285771,78.414859,Mcc Dhanoli
185,Maiwadi,60.535161290322584,21.337153,78.449862,Mcc Dhanoli
